拠点ID,区市町村,名称,所在地,緯度１,経度１,緯度２,経度２,緯度３,経度３,緯度４,経度４,緯度５,経度５,緯度６,経度６,連絡先,連絡先詳細,入出庫可能時間,休業日,収容台数,一時利用/定期利用の別,一時利用部分の有料/無料の別,定期利用部分の有料/無料の別,ジャンル１,ジャンル２,備考,情報提供元
21015,足立区,関屋自転車駐車場,東京都足立区千住曙町42-1,35.743826,139.810778,,,,,,,,,,,03-3879-2325,,24時間,なし,146台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21016,足立区,竹の塚東自転車駐車場Ａ棟,東京都足立区竹の塚6-16-9先,35.796074,139.791659,,,,,,,,,,,03-3859-1065,,24時間,なし,1949台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21017,足立区,竹の塚東自転車駐車場Ｂ棟,東京都足立区竹の塚6-16-9先,35.796004,139.792748,,,,,,,,,,,03-3859-1065,,24時間,なし,1434台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21018,足立区,竹の塚南自転車駐車場,東京都足立区西竹の塚1-14-5,35.793667,139.78844,,,,,,,,,,,03-3897-1848,,24時間,なし,623台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21019,足立区,竹の塚西自転車駐車場,東京都足立区西竹の塚2-12-2,35.7966153,139.789975,,,,,,,,,,,03-5837-0505,,24時間,なし,1230台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21020,足立区,西新井南自転車駐車場,東京都足立区梅島3-28-1,35.776252,139.791745,,,,,,,,,,,03-3880-7393,,24時間,なし,210台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21021,足立区,西新井栄町自転車駐車場,東京都足立区西新井栄町1-13-19,35.775645,139.790924,,,,,,,,,,,03-5681-1940,,24時間,なし,100台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21022,足立区,西新井自転車駐車場,東京都足立区梅田8-14先,35.775203,139.792834,,,,,,,,,,,03-3880-7601,,24時間,なし,1020台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21023,足立区,大師前自転車駐車場,東京都足立区西新井1-16-15,35.780145,139.781429,,,,,,,,,,,03-3890-3992,,24時間,なし,237台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21024,足立区,五反野北自転車駐車場,東京都足立区足立4-17-25先,35.767813,139.806379,,,,,,,,,,,03-3887-3706,,24時間,なし,587台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21025,足立区,ベルモント公園自転車駐車場,東京都足立区梅島1-33,35.774993,139.799176,,,,,,,,,,,,,24時間,なし,189台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21026,足立区,北綾瀬南自転車駐車場,東京都足立区谷中1-13-9,35.775044,139.831989,,,,,,,,,,,03-3629-1042,,24時間,なし,458台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21027,足立区,北綾瀬北自転車駐車場,東京都足立区谷中4-7-5,35.777693,139.832136,,,,,,,,,,,03-3629-0804,,24時間,なし,482台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21028,足立区,青井駅自転車駐車場,東京都足立区青井3-24-1,35.772827,139.820262,,,,,,,,,,,03-3880-0641,,5:00-(翌)1:00,なし,1589台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21029,足立区,六町駅自転車駐車場,東京都足立区六町4-1-25,35.784216,139.821319,,,,,,,,,,,03-3884-0520,,24時間,なし,1558台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21030,足立区,見沼代親水公園駅自転車駐車場,東京都足立区舎人5-21-26,35.813744,139.770252,,,,,,,,,,,03-3899-1731,,24時間,なし,780台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21031,足立区,舎人駅東第１自転車駐車場,東京都足立区舎人1-15-5,35.805193,139.770684,,,,,,,,,,,,,24時間,なし,92台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21032,足立区,舎人駅東第２自転車駐車場,東京都足立区入谷1-6-11,35.80461,139.77033,,,,,,,,,,,03-3857-6460,,24時間,なし,363台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21033,足立区,舎人公園駅下自転車駐車場,東京都足立区舎人公園1-10,35.79613,139.770153,,,,,,,,,,,03-3856-7491,,24時間,なし,272台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21034,足立区,舎人公園自転車駐車場,東京都足立区皿沼3-33-62,35.795734,139.769837,,,,,,,,,,,,,24時間,なし,276台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21035,足立区,谷在家駅東自転車駐車場,東京都足立区谷在家1-21-3,35.787893,139.770888,,,,,,,,,,,03-3899-5265,,24時間,なし,152台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21036,足立区,谷在家駅西自転車駐車場,東京都足立区谷在家3-20-19,35.788874,139.769855,,,,,,,,,,,03-3899-5265,,24時間,なし,314台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21037,足立区,西新井大師西駅東自転車駐車場,東京都足立区西新井7-16-11,35.78159,139.770274,,,,,,,,,,,03-3899-0331,,24時間,なし,351台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21038,足立区,西新井大師西駅第１自転車駐車場,東京都足立区江北6-30-23,35.781063,139.76992,,,,,,,,,,,,,24時間,なし,101台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21039,足立区,西新井大師西駅第２自転車駐車場,東京都足立区江北6-30-23,35.782108,139.769888,,,,,,,,,,,,,24時間,なし,70台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21040,足立区,西新井大師西駅第３自転車駐車場,東京都足立区江北6-30-24,35.782932,139.769611,,,,,,,,,,,,,24時間,なし,40台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21041,足立区,西新井大師西駅第４自転車駐車場,東京都足立区江北6-10先,35.780471,139.769858,,,,,,,,,,,,,24時間,なし,130台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21042,足立区,江北駅東自転車駐車場,東京都足立区西新井本町2-32-17,35.77381,139.770754,,,,,,,,,,,03-3898-9116,,24時間,なし,102台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21043,足立区,江北駅西第２自転車駐車場,東京都足立区江北4-30先,35.773671,139.770118,,,,,,,,,,,03-3898-9116,,24時間,なし,129台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21044,足立区,高野駅東自転車駐車場,東京都足立区扇3-4-12,35.768037,139.770859,,,,,,,,,,,03-3899-9971,,24時間,なし,250台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21045,足立区,高野駅西自転車駐車場,東京都足立区扇2-38,35.768257,139.77003,,,,,,,,,,,03-3899-9971,,24時間,なし,175台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21046,足立区,扇大橋駅東自転車駐車場,東京都足立区扇1-21-11,35.764383,139.771001,,,,,,,,,,,03-3899-9958,,24時間,なし,332台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21047,足立区,扇大橋駅下自転車駐車場,東京都足立区扇2-25先,35.7637986,139.770787,,,,,,,,,,,03-3889-2119,,24時間,なし,240台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21048,足立区,足立小台駅自転車駐車場,東京都足立区小台1-20-1,35.755126,139.770078,,,,,,,,,,,03-5244-0601,,24時間,なし,94台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21049,足立区,宮城二丁目自転車駐車場,東京都足立区宮城2-4先,35.76203,139.75554,,,,,,,,,,,,,24時間,なし,64台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21050,足立区,椿二丁目自転車駐車場,東京都足立区椿2-21-1先,35.778115,139.760977,,,,,,,,,,,,,24時間,なし,230台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21051,足立区,西新井六丁目自転車駐車場,東京都足立区西新井6-7-8,35.778367,139.774552,,,,,,,,,,,,,24時間,なし,100台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21052,足立区,花畑仲組自転車駐車場,東京都足立区花畑3-38-1先,35.805676,139.813777,,,,,,,,,,,,,24時間,なし,600台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21053,足立区,江北二丁目自転車駐車場,東京都足立区江北2-8-17先,35.76793,139.762337,,,,,,,,,,,,,24時間,なし,150台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21054,足立区,江北二丁目北自転車駐車場,東京都足立区江北2-43-10先,35.76944,139.761691,,,,,,,,,,,,,24時間,なし,260台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21055,足立区,江北陸橋下自転車駐車場,東京都足立区江北6-1先,35.778197,139.769853,,,,,,,,,,,,,24時間,なし,72台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21056,足立区,神明一丁目自転車駐車場,東京都足立区神明1-11・12先,35.793078,139.82829,,,,,,,,,,,,,24時間,なし,70台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21057,足立区,鹿浜二丁目自転車駐車場,東京都足立区鹿浜2-24-2,35.780232,139.748937,,,,,,,,,,,,,24時間,なし,60台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21070,足立区,cycle24h綾瀬東駐輪場,東京都足立区綾瀬3-11-6,35.762598,139.828182,,,,,,,,,,,0120-090-005,24時間受付コールセンター,24時間,なし,3785台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21104,足立区,舎人公園東自転車駐車場,東京都足立区古千谷1,35.796,139.77076,,,,,,,,,,,,,24時間,なし,100台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21105,足立区,西新井東自転車駐車場,東京都足立区栗原1-7-5,35.77824,139.78972,,,,,,,,,,,03-3880-5258,,24時間,なし,575台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21106,足立区,西新井西自転車駐車場,東京都足立区栗原3-1-1,35.77823,139.78899,,,,,,,,,,,03-3852-1233,,24時間,なし,395台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21107,足立区,神明南自転車駐車場,東京都足立区神明南1-18先,35.78879,139.82784,,,,,,,,,,,,,24時間,なし,13台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21108,足立区,竹ノ塚駅西口公共駐車場,東京都足立区西竹の塚1-11-2,35.79303,139.78986,,,,,,,,,,,03-3890-4439,,24時間,なし,300台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21109,足立区,CCP竹の塚東口駅前自転車駐輪場,東京都足立区竹の塚1-41先,35.79401,139.7913,,,,,,,,,,,0120-090-005,24時間受付コールセンター,24時間,なし,81台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21110,足立区,cycle24h竹の塚２丁目駐輪場,東京都足立区竹の塚2-25,35.79283,139.7951,,,,,,,,,,,0120-090-005,24時間受付コールセンター,24時間,なし,428台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21111,足立区,cycle24h千住三丁目駐輪場,東京都足立区千住3-58,35.75213,139.80462,,,,,,,,,,,0120-090-005,24時間受付コールセンター,24時間,なし,77台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21112,足立区,CCP江北駅西口駐輪場,東京都足立区江北4-1先,35.77332,139.77006,,,,,,,,,,,0120-090-005,24時間受付コールセンター,24時間,なし,32台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
21113,足立区,区営谷中四丁目自転車駐車場,東京都足立区谷中4-5-6,35.77955,139.83201,,,,,,,,,,,,,24時間,なし,504台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・足立区
22001,葛飾区,金町駅北口（西側）自転車駐車場,東京都葛飾区東金町1-22-1先,35.769615,139.868628,,,,,,,,,,,03-3627-7964,,4:00-（翌）1:30,なし,3320台（金町駅北口（西側）、金町駅北口（北側）、金町駅北口（東金町）の合計）,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22002,葛飾区,金町駅北口（東側）自転車駐車場,東京都葛飾区東金町1-45-13先,35.76988,139.872579,,,,,,,,,,,03-3608-7189,,4:00-（翌）1:30,なし,3320台（金町駅北口（西側）、金町駅北口（北側）、金町駅北口（東金町）の合計）,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22003,葛飾区,金町駅北口（東金町）自転車駐車場,東京都葛飾区東金町3-5-9先,35.76981,139.873947,,,,,,,,,,,03-5699-9068,,4:00-（翌）1:30,なし,3320台（金町駅北口（西側）、金町駅北口（北側）、金町駅北口（東金町）の合計）,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22004,葛飾区,金町高架下自転車駐車場,東京都葛飾区金町6-7-24先,35.767978,139.872957,,,,,,,,,,,03-3600-5769,,24時間,なし,500台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22005,葛飾区,金町南自転車駐車場,東京都葛飾区金町6-13-5,35.7692611,139.874495,35.7693354,139.875292,,,,,,,,,03-3609-1071,,24時間,なし,306台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22006,葛飾区,東金町一丁目自転車駐車場,東京都葛飾区東金町1-9先,35.770076,139.866053,,,,,,,,,,,03-3607-9888,,24時間,なし,880台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22007,葛飾区,新小岩北口自転車駐車場,東京都葛飾区西新小岩1-6-6,35.718604,139.856456,,,,,,,,,,,03-3691-7909,,4:30-（翌）1:30,なし,2609台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22008,葛飾区,西井堀第一自転車駐車場,東京都葛飾区西新小岩1-1先,35.717367,139.85593,,,,,,,,,,,03-3691-7909,,24時間,なし,570台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22009,葛飾区,西井堀第三自転車駐車場,東京都葛飾区西新小岩1-1先,35.716827,139.856413,,,,,,,,,,,03-3691-7909,,24時間,なし,666台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22010,葛飾区,西井堀第四自転車駐車場,東京都葛飾区西新小岩1-1先,35.716504,139.856536,,,,,,,,,,,03-3691-7909,,24時間,なし,600台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22011,葛飾区,新小岩東自転車駐車場,東京都葛飾区新小岩4-2-3先,35.719181,139.862148,,,,,,,,,,,03-3691-7909,,24時間,なし,529台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22012,葛飾区,西井堀せせらぎパーク自転車駐車場,東京都葛飾区東新小岩5-1-12先,35.719871,139.85733,,,,,,,,,,,03-3691-7909,,24時間,なし,416台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22013,葛飾区,新小岩駅南口自転車駐車場,東京都葛飾区新小岩1-29-1,35.716274,139.857279,,,,,,,,,,,03-5678-6192,,4:30-（翌）1:30,なし,1490台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22014,葛飾区,新小岩南第一自転車駐車場,東京都葛飾区新小岩1-34-12,35.714433,139.859506,,,,,,,,,,,03-5678-6192,,24時間,なし,480台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22015,葛飾区,新小岩南第二自転車駐車場,東京都葛飾区新小岩2-12-9,35.715259,139.862059,,,,,,,,,,,03-5678-6192,,24時間,なし,200台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22016,葛飾区,新小岩東北自転車駐車場,東京都葛飾区東新小岩1-16先,35.718436,139.859844,,,,,,,,,,,03-3697-3635,,4:00-（翌）1:30,なし,1500台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22017,葛飾区,亀有東自転車駐車場,東京都葛飾区亀有3-25-2,35.76738,139.850112,,,,,,,,,,,03-3602-2114,,24時間,なし,1500台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
22018,葛飾区,亀有南（リリオ）自転車駐車場,東京都葛飾区亀有3-26-3,35.76684,139.849171,,,,,,,,,,,03-3604-8354,,4:00-（翌）1:30,なし,1694台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・葛飾区
